n h=50 h=100 h=500 h=1000 tmp_abr
500 2.108264 1.178493 0.554708 0.486146 0.831832
1000 12.297398 5.971572 2.446482 1.698383 1.775347
1500 47.736672 16.041788 5.343621 3.722215 2.618380
2000 90.574087 31.892468 10.625385 4.978037 3.719203
2500 138.592599 49.336738 18.521940 8.917182 4.683348
3000 210.058489 73.631264 26.318461 12.100561 5.787722
3500 287.752481 98.190860 33.845556 16.160196 6.813697
4000 618.224471 252.797499 87.351710 40.983870 14.930812
4500 916.915072 290.745016 85.954156 51.803757 17.021690
5000 1052.650838 401.379402 117.288945 60.360696 16.361116
