n ABR
99802 0.088591
149567 0.166933
199260 0.239956
248736 0.316119
298252 0.394881
347473 0.474651
396808 0.562467
445991 0.646177
495041 0.724886
543965 0.808256
592946 0.909372
641415 0.978961
690459 1.073274
738881 1.155243
787192 1.241984
835609 1.346798
884171 1.474610
932015 1.570827
980164 1.624009
1028253 1.704899
1076102 1.804649
1123760 1.886601
1171643 2.014726
1219198 2.101478
1266882 2.211562
1313941 2.284239
1361317 2.384664
1408785 2.462915
1455703 2.535870
1502719 2.656480
1549555 2.745718
1596798 2.860522
1643591 2.972532
1690250 3.061975
1737254 3.170233
1782720 3.259926
1829654 3.386974
1876042 3.514930
1922122 3.552391
1967783 3.659241
2014340 3.741541
2060535 3.868618
2106314 3.956496
2151443 4.162022
2197473 4.176264
2243345 4.328940
2288578 4.359427
2334020 4.449268
2379464 4.546271
2424067 4.680497
2469274 4.851288
2514444 5.047540
2559742 5.200934
2603758 5.356013
2648544 5.354821
2693014 5.506838
2737987 5.601931
2783195 5.750563
2826807 5.755978
