n H50 H100 H500 H1000 ABR
49946 0.280649 0.149133 0.039248 0.024236 0.029590
99807 1.709972 0.874832 0.183727 0.108224 0.077728
149539 5.674512 2.454353 0.614097 0.313902 0.132823
199241 14.926597 7.320738 1.577313 0.806941 0.219945
248753 21.829343 12.737570 2.721340 1.428616 0.255295
298194 37.348175 20.293217 4.528837 2.335948 0.311599
347469 63.383186 30.183806 7.471048 3.770267 0.385101
396808 81.276837 42.521518 9.661791 5.183967 0.438216
445967 110.999394 58.814447 12.813600 6.682500 0.502448
495052 150.674647 76.845058 18.493874 8.474610 0.568825
