n h=50 h=100 h=500 h=1000 tmp_abr
500 0.653050 0.680265 0.711291 0.721918 0.023894
1000 3.543707 3.624193 3.714361 3.751498 0.063955
1500 8.768699 8.892123 9.037532 9.096437 0.130080
2000 17.140579 17.327657 17.651600 17.634198 0.207245
2500 30.109357 30.506436 31.191497 32.721292 0.285134
3000 49.742069 50.710840 52.047810 52.368968 0.366940
3500 78.652086 79.020559 80.925933 82.351620 0.449072
4000 119.338181 109.388109 100.176830 100.042941 0.491209
4500 142.238080 141.407107 142.137700 142.796750 0.569017
5000 198.063419 201.780478 201.052412 201.610318 0.651083
