nbChaine ABQ LC H50 H100 H150 H200 H250 H300 H350 H400 H450 H500 
8 0.026275 0.005025 0.011529 0.000372 0.000364 0.000384 0.000383 0.000431 0.000467 0.000446 0.000444 0.000428 
15 0.026391 0.005922 0.012634 0.001447 0.006681 0.001484 0.001336 0.001290 0.001285 0.001392 0.001482 0.001830 
20 0.026617 0.006716 0.012972 0.001410 0.007049 0.001676 0.001557 0.001536 0.001434 0.001353 0.001463 0.001432 
25 0.027464 0.013486 0.013961 0.001775 0.001606 0.001556 0.001847 0.001808 0.001875 0.001905 0.001750 0.001722 
30 0.019794 0.008567 0.009304 0.001543 0.001493 0.001513 0.001482 0.001534 0.001570 0.001460 0.001577 0.001546 
40 0.028016 0.008979 0.012865 0.002281 0.002651 0.003027 0.002729 0.002431 0.002526 0.002925 0.003230 0.002824 
50 0.032408 0.011522 0.015751 0.004254 0.004534 0.003792 0.004728 0.005196 0.003717 0.004710 0.007776 0.010345 
120 0.045166 0.087403 0.026388 0.016025 0.016577 0.016681 0.016914 0.016947 0.016919 0.015919 0.015425 0.015428 
200 0.097658 0.322905 0.060329 0.040854 0.046545 0.053750 0.045710 0.048780 0.047669 0.043628 0.042543 0.041049 
300 0.133395 1.188147 0.100092 0.075645 0.067624 0.063494 0.083034 0.081392 0.086629 0.111048 0.075764 0.075261 
500 0.356860 2.917192 0.095740 0.079649 0.133462 0.128880 0.124840 0.126538 0.123676 0.123026 0.120378 0.120557 
700 0.500188 8.221369 0.322694 0.242484 0.222800 0.203170 0.198496 0.194920 0.191911 0.188399 0.189982 0.184951 
1000 1.164072 24.201309 0.923164 0.669900 0.586122 0.538205 0.520032 0.501499 0.494561 0.484462 0.479872 0.476594 
1400 1.714694 61.527702 1.224210 0.851261 0.725579 0.671525 0.639515 0.613333 0.591539 0.582865 0.569932 0.560349 
1700 33.311728 586.182016 28.069581 22.716529 20.827969 19.826696 19.295622 19.025261 18.844506 18.443591 18.443432 18.193149 
