nom nbChaines gamma temps t
00014_burma.cha 8 3 0.010234 0
00100_USA-road-d-NY-1-100.cha 15 6 0.011651 1
00048_att.cha 20 7 0.011416 1
00052_berlin.cha 25 11 0.014118 1
00076_eil.cha 30 8 0.016375 1
00144_pr.cha 40 10 0.017041 1
00150_ch.cha 50 8 0.019629 1
00417_fl.cha 120 22 0.061460 1
00493_f.cha 200 36 0.128621 1
00783_rat.cha 300 39 0.266851 1
01400_fl.cha 500 99 0.752432 1
02392_pr.cha 700 119 1.634067 1
03795_fl.cha 1000 161 4.229525 1
04461_fnl.cha 1400 374 6.609332 1
05000_USA-road-d-NY.cha 1700 143 9.068071 0
