nom nbChaines gamma temps t
00014_burma,cha 8 3 0,000012 0
00100_USA-road-d-NY-1-100,cha 15 6 0,000058 1
00048_att,cha 20 7 0,000056 1
00052_berlin,cha 25 11 0,000063 1
00076_eil,cha 30 8 0,000094 1
00144_pr,cha 40 10 0,000239 1
00150_ch,cha 50 8 0,000365 1
00417_fl,cha 120 22 0,001983 1
00493_d,cha 200 36 0,004386 1
00783_rat,cha 300 39 0,010195 1
01400_fl,cha 500 99 0,030151 1
02392_pr,cha 700 119 0,064348 1
03795_fl,cha 1000 161 0,167159 1
04461_fnl,cha 1400 374 0,251289 1
05000_USA-road-d-NY,cha 1700 143 0,369545 0
08000_USA-road-d-NY,cha 3300 499 1,209327 1
09000_USA-road-d-NY,cha 4000 617 1,670757 1
10000_USA-road-d-NY,cha 4700 1050 1,688889 1
