Instances,00014_burma.cha,00052_berlin.cha,00150_ch.cha,00417_fl.cha
NbChain,8,25,50,120
Gamma,3,11,8,22
t,0,1,1,1
temps de calcul,"0,010332","0,014039","0,0197213333333333","0,0590986666666667"
Gamma2,,4,4,10
temps de calcul false,,"0,0176373333333333","0,0262036666666667","0,056581"
,,,,
,,,,
,false,"0,025072","0,039565","0,055692"
,,"0,013918","0,019212","0,055497"
,,"0,013922","0,019834","0,058554"
,,,,
,true,"0,013903","0,020085","0,058338"
,,"0,014129","0,019739","0,059323"
,,"0,014085","0,01934","0,059635"
